"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\core\common\widgets\loader.dart", "Dart", 10, 0, 0, 3, 13
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\core\error\exceptions.dart", "Dart", 4, 0, 0, 1, 5
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\core\error\failures.dart", "Dart", 4, 0, 0, 1, 5
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\core\routes\app_routes.dart", "Dart", 14, 0, 0, 3, 17
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\core\secrets\app_secrets.dart", "Dart", 5, 0, 0, 1, 6
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\core\theme\app_palette.dart", "Dart", 12, 0, 0, 2, 14
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\core\theme\theme.dart", "Dart", 52, 0, 0, 4, 56
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\core\utils\show_snackbar.dart", "Dart", 10, 0, 0, 2, 12
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\auth\presentation\pages\login_page.dart", "Dart", 190, 0, 2, 19, 211
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\auth\presentation\pages\login_supabase.dart", "Dart", 192, 0, 2, 19, 213
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\auth\presentation\pages\send_invitation_link.dart", "Dart", 180, 0, 0, 9, 189
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\auth\presentation\pages\send_login_link.dart", "Dart", 159, 0, 2, 18, 179
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\auth\presentation\pages\signup_page.dart", "Dart", 181, 0, 0, 15, 196
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\auth\presentation\pages\splash_page.dart", "Dart", 56, 0, 1, 10, 67
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\auth\presentation\widgets\add_field.dart", "Dart", 96, 0, 1, 8, 105
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\auth\presentation\widgets\auth_field.dart", "Dart", 51, 0, 1, 6, 58
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\data\test.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\data\user\user_data.dart", "Dart", 8, 0, 0, 3, 11
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\data\user_functions.dart", "Dart", 39, 0, 3, 7, 49
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\categoria.dart", "Dart", 6, 0, 0, 2, 8
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\client.dart", "Dart", 11, 0, 0, 3, 14
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\empleado.dart", "Dart", 6, 0, 0, 2, 8
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\insumo.dart", "Dart", 10, 0, 0, 2, 12
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\medida.dart", "Dart", 8, 0, 0, 2, 10
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\planta.dart", "Dart", 8, 0, 0, 2, 10
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\produced_products.dart", "Dart", 36, 0, 0, 4, 40
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\product.dart", "Dart", 21, 0, 0, 3, 24
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\production.dart", "Dart", 0, 0, 0, 2, 2
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\producto.dart", "Dart", 16, 0, 0, 2, 18
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\producto_seleccionado.dart", "Dart", 6, 0, 0, 3, 9
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\products.dart", "Dart", 14, 0, 0, 3, 17
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\proveedor.dart", "Dart", 8, 0, 0, 2, 10
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\raw_materials.dart", "Dart", 14, 0, 0, 3, 17
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\receta.dart", "Dart", 10, 0, 0, 2, 12
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\recipe.dart", "Dart", 24, 0, 0, 4, 28
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\sales.dart", "Dart", 140, 0, 1, 16, 157
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\used_raw_material.dart", "Dart", 36, 0, 0, 4, 40
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\Entities\venta.dart", "Dart", 9, 0, 0, 3, 12
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\drawer.dart", "Dart", 334, 0, 1, 24, 359
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\factory.dart", "Dart", 87, 0, 2, 9, 98
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\home.dart", "Dart", 59, 0, 1, 8, 68
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\layout.dart", "Dart", 17, 0, 0, 4, 21
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\models\recipe_model.dart", "Dart", 0, 0, 47, 9, 56
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\pages\categorias de gastos\expenses_categories_page.dart", "Dart", 145, 0, 0, 10, 155
"c:\Users\juan-\OneDrive\Desktop\netxelapp-jose\netxelapp-jose\lib\features\home\pages\categorias de gastos\expenses_categories_service.dart", "Dart", 46, 0, 0, 7, 53
